URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/152.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	4OmeNB STD 500uM
Number	21
Position	B:C1
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 4:30:35 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	28.000050
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.563674
Signal Max.	60.007488
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.493383	0.2	-0.040536
0.496717	0.2	-0.041248
0.500050	0.2	-0.042198
0.503383	0.2	-0.042901
0.506717	0.2	-0.043204
0.510050	0.2	-0.043255
0.513383	0.2	-0.043097
0.516717	0.2	-0.042631
0.520050	0.2	-0.042026
0.523383	0.2	-0.041574
0.526717	0.2	-0.041164
0.530050	0.2	-0.040466
0.533383	0.2	-0.039530
0.536717	0.2	-0.038939
0.540050	0.2	-0.039376
0.543383	0.2	-0.040852
0.546717	0.2	-0.042575
0.550050	0.2	-0.043749
0.553383	0.2	-0.044266
0.556717	0.2	-0.044545
0.560050	0.2	-0.044974
0.563383	0.2	-0.045490
0.566717	0.2	-0.045728
0.570050	0.2	-0.045742
0.573383	0.2	-0.046240
0.576717	0.2	-0.047423
0.580050	0.2	-0.048252
0.583383	0.2	-0.047768
0.586717	0.2	-0.046347
0.590050	0.2	-0.045211
0.593383	0.2	-0.045286
0.596717	0.2	-0.046622
0.600050	0.2	-0.048568
0.603383	0.2	-0.050068
0.606717	0.2	-0.050124
0.610050	0.2	-0.048634
0.613383	0.2	-0.046832
0.616717	0.2	-0.046184
0.620050	0.2	-0.047241
0.623383	0.2	-0.049747
0.626717	0.2	-0.052974
0.630050	0.2	-0.055842
0.633383	0.2	-0.057416
0.636717	0.2	-0.057481
0.640050	0.2	-0.056312
0.643383	0.2	-0.054296
0.646717	0.2	-0.051968
0.650050	0.2	-0.049961
0.653383	0.2	-0.048671
0.656717	0.2	-0.047972
0.660050	0.2	-0.047432
0.663383	0.2	-0.046906
0.666717	0.2	-0.046720
0.670050	0.2	-0.047167
0.673383	0.2	-0.048103
0.676717	0.2	-0.048955
0.680050	0.2	-0.049090
0.683383	0.2	-0.048364
0.686717	0.2	-0.047535
0.690050	0.2	-0.047800
0.693383	0.2	-0.049565
0.696717	0.2	-0.052000
0.700050	0.2	-0.054031
0.703383	0.2	-0.055111
0.706717	0.2	-0.055237
0.710050	0.2	-0.054697
0.713383	0.2	-0.053821
0.716717	0.2	-0.052787
0.720050	0.2	-0.051702
0.723383	0.2	-0.050906
0.726717	0.2	-0.051102
0.730050	0.2	-0.052918
0.733383	0.2	-0.056042
0.736717	0.2	-0.059209
0.740050	0.2	-0.061239
0.743383	0.2	-0.061803
0.746717	0.2	-0.061202
0.750050	0.2	-0.059805
0.753383	0.2	-0.057914
0.756717	0.2	-0.056061
0.760050	0.2	-0.054920
0.763383	0.2	-0.054850
0.766717	0.2	-0.055851
0.770050	0.2	-0.057658
0.773383	0.2	-0.059833
0.776717	0.2	-0.061784
0.780050	0.2	-0.062818
0.783383	0.2	-0.062580
0.786717	0.2	-0.061183
0.790050	0.2	-0.058985
0.793383	0.2	-0.056489
0.796717	0.2	-0.054338
0.800050	0.2	-0.053225
0.803383	0.2	-0.053686
0.806717	0.2	-0.055721
0.810050	0.2	-0.058673
0.813383	0.2	-0.061761
0.816717	0.2	-0.064620
0.820050	0.2	-0.066990
0.823383	0.2	-0.068252
0.826717	0.2	-0.067842
0.830050	0.2	-0.065807
0.833383	0.2	-0.062953
0.836717	0.2	-0.060629
0.840050	0.2	-0.060131
0.843383	0.2	-0.061775
0.846717	0.2	-0.064480
0.850050	0.2	-0.066608
0.853383	0.2	-0.067148
0.856717	0.2	-0.066077
0.860050	0.2	-0.064070
0.863383	0.2	-0.062059
0.866717	0.2	-0.060722
0.870050	0.2	-0.060229
0.873383	0.2	-0.060424
0.876717	0.2	-0.061179
0.880050	0.2	-0.062413
0.883383	0.2	-0.063968
0.886717	0.2	-0.065668
0.890050	0.2	-0.067418
0.893383	0.2	-0.068950
0.896717	0.2	-0.069626
0.900050	0.2	-0.069058
0.903383	0.2	-0.067651
0.906717	0.2	-0.066333
0.910050	0.2	-0.065723
0.913383	0.2	-0.065858
0.916717	0.2	-0.066455
0.920050	0.2	-0.067097
0.923383	0.2	-0.067311
0.926717	0.2	-0.066832
0.930050	0.2	-0.065858
0.933383	0.2	-0.064927
0.936717	0.2	-0.064825
0.940050	0.2	-0.066143
0.943383	0.2	-0.068666
0.946717	0.2	-0.071442
0.950050	0.2	-0.073658
0.953383	0.2	-0.074916
0.956717	0.2	-0.074920
0.960050	0.2	-0.073807
0.963383	0.2	-0.072531
0.966717	0.2	-0.072005
0.970050	0.2	-0.072150
0.973383	0.2	-0.072503
0.976717	0.2	-0.073118
0.980050	0.2	-0.074212
0.983383	0.2	-0.075395
0.986717	0.2	-0.075800
0.990050	0.2	-0.074850
0.993383	0.2	-0.073058
0.996717	0.2	-0.071800
1.000050	0.2	-0.072033
1.003383	0.2	-0.073491
1.006717	0.2	-0.075279
1.010050	0.2	-0.076885
1.013383	0.2	-0.078417
1.016717	0.2	-0.080047
1.020050	0.2	-0.081449
1.023383	0.2	-0.081868
1.026717	0.2	-0.080550
1.030050	0.2	-0.077300
1.033383	0.2	-0.072932
1.036717	0.2	-0.069127
1.040050	0.2	-0.067162
1.043383	0.2	-0.066808
1.046717	0.2	-0.067018
1.050050	0.2	-0.067228
1.053383	0.2	-0.067223
1.056717	0.2	-0.066445
1.060050	0.2	-0.064149
1.063383	0.2	-0.059688
1.066717	0.2	-0.052582
1.070050	0.2	-0.042175
1.073383	0.2	-0.026952
1.076717	0.2	-0.004247
1.080050	0.2	0.029835
1.083383	0.2	0.081272
1.086717	0.2	0.160616
1.090050	0.2	0.290391
1.093383	0.2	0.522477
1.096717	0.2	0.956114
1.100050	0.2	1.724684
1.103383	0.2	2.933955
1.106717	0.2	4.591020
1.110050	0.2	6.586583
1.113383	0.2	8.747126
1.116717	0.2	10.911613
1.120050	0.2	12.974981
1.123383	0.2	14.883601
1.126717	0.2	16.613393
1.130050	0.2	18.159123
1.133383	0.2	19.534533
1.136717	0.2	20.771446
1.140050	0.2	21.912018
1.143383	0.2	22.996208
1.146717	0.2	24.051606
1.150050	0.2	25.090748
1.153383	0.2	26.114294
1.156717	0.2	27.115974
1.160050	0.2	28.087134
1.163383	0.2	29.020342
1.166717	0.2	29.911478
1.170050	0.2	30.759554
1.173383	0.2	31.565023
1.176717	0.2	32.328451
1.180050	0.2	33.050026
1.183383	0.2	33.729761
1.186717	0.2	34.368951
1.190050	0.2	34.972117
1.193383	0.2	35.548369
1.196717	0.2	36.112438
1.200050	0.2	36.684871
1.203383	0.2	37.290487
1.206717	0.2	37.955679
1.210050	0.2	38.705561
1.213383	0.2	39.560609
1.216717	0.2	40.533794
1.220050	0.2	41.630003
1.223383	0.2	42.847572
1.226717	0.2	44.180332
1.230050	0.2	45.618382
1.233383	0.2	47.146864
1.236717	0.2	48.743663
1.240050	0.2	50.377073
1.243383	0.2	52.005076
1.246717	0.2	53.577931
1.250050	0.2	55.044028
1.253383	0.2	56.357430
1.256717	0.2	57.483781
1.260050	0.2	58.402703
1.263383	0.2	59.107249
1.266717	0.2	59.601464
1.270050	0.2	59.896661
1.273383	0.2	60.007488
1.276717	0.2	59.948205
1.280050	0.2	59.730210
1.283383	0.2	59.362524
1.286717	0.2	58.854194
1.290050	0.2	58.216061
1.293383	0.2	57.461341
1.296717	0.2	56.606042
1.300050	0.2	55.669434
1.303383	0.2	54.673376
1.306717	0.2	53.639994
1.310050	0.2	52.589341
1.313383	0.2	51.538418
1.316717	0.2	50.500501
1.320050	0.2	49.484479
1.323383	0.2	48.495843
1.326717	0.2	47.538648
1.330050	0.2	46.616234
1.333383	0.2	45.731119
1.336717	0.2	44.885473
1.340050	0.2	44.081644
1.343383	0.2	43.321848
1.346717	0.2	42.607752
1.350050	0.2	41.940752
1.353383	0.2	41.322298
1.356717	0.2	40.753763
1.360050	0.2	40.236209
1.363383	0.2	39.770235
1.366717	0.2	39.355862
1.370050	0.2	38.992465
1.373383	0.2	38.679033
1.376717	0.2	38.414556
1.380050	0.2	38.197883
1.383383	0.2	38.027274
1.386717	0.2	37.900345
1.390050	0.2	37.814747
1.393383	0.2	37.768609
1.396717	0.2	37.759906
1.400050	0.2	37.785703
1.403383	0.2	37.842137
1.406717	0.2	37.924843
1.410050	0.2	38.028955
1.413383	0.2	38.149175
1.416717	0.2	38.280166
1.420050	0.2	38.416702
1.423383	0.2	38.553546
1.426717	0.2	38.685547
1.430050	0.2	38.807406
1.433383	0.2	38.912999
1.436717	0.2	38.995328
1.440050	0.2	39.047361
1.443383	0.2	39.062458
1.446717	0.2	39.034477
1.450050	0.2	38.958145
1.453383	0.2	38.829045
1.456717	0.2	38.643493
1.460050	0.2	38.398895
1.463383	0.2	38.094046
1.466717	0.2	37.729032
1.470050	0.2	37.305290
1.473383	0.2	36.825771
1.476717	0.2	36.294735
1.480050	0.2	35.717171
1.483383	0.2	35.098195
1.486717	0.2	34.443070
1.490050	0.2	33.757817
1.493383	0.2	33.049150
1.496717	0.2	32.323538
1.500050	0.2	31.586806
1.503383	0.2	30.844472
1.506717	0.2	30.101878
1.510050	0.2	29.363977
1.513383	0.2	28.634947
1.516717	0.2	27.917838
1.520050	0.2	27.214522
1.523383	0.2	26.526735
1.526717	0.2	25.856746
1.530050	0.2	25.206599
1.533383	0.2	24.577128
1.536717	0.2	23.968299
1.540050	0.2	23.379969
1.543383	0.2	22.811973
1.546717	0.2	22.264025
1.550050	0.2	21.735886
1.553383	0.2	21.227053
1.556717	0.2	20.736437
1.560050	0.2	20.262948
1.563383	0.2	19.806074
1.566717	0.2	19.365461
1.570050	0.2	18.940670
1.573383	0.2	18.531559
1.576717	0.2	18.137791
1.580050	0.2	17.757742
1.583383	0.2	17.389003
1.586717	0.2	17.030174
1.590050	0.2	16.681524
1.593383	0.2	16.343705
1.596717	0.2	16.016574
1.600050	0.2	15.699235
1.603383	0.2	15.390534
1.606717	0.2	15.089521
1.610050	0.2	14.795885
1.613383	0.2	14.509838
1.616717	0.2	14.231196
1.620050	0.2	13.959142
1.623383	0.2	13.693064
1.626717	0.2	13.432885
1.630050	0.2	13.178745
1.633383	0.2	12.930818
1.636717	0.2	12.689317
1.640050	0.2	12.454698
1.643383	0.2	12.227492
1.646717	0.2	12.007761
1.650050	0.2	11.795126
1.653383	0.2	11.589318
1.656717	0.2	11.390070
1.660050	0.2	11.196486
1.663383	0.2	11.007371
1.666717	0.2	10.822169
1.670050	0.2	10.641110
1.673383	0.2	10.464755
1.676717	0.2	10.293853
1.680050	0.2	10.128985
1.683383	0.2	9.970213
1.686717	0.2	9.817411
1.690050	0.2	9.670733
1.693383	0.2	9.530168
1.696717	0.2	9.394940
1.700050	0.2	9.264038
1.703383	0.2	9.137220
1.706717	0.2	9.015105
1.710050	0.2	8.898145
1.713383	0.2	8.785743
1.716717	0.2	8.676597
1.720050	0.2	8.569737
1.723383	0.2	8.465094
1.726717	0.2	8.363579
1.730050	0.2	8.266317
1.733383	0.2	8.173743
1.736717	0.2	8.085445
1.740050	0.2	8.000368
1.743383	0.2	7.917415
1.746717	0.2	7.836302
1.750050	0.2	7.757517
1.753383	0.2	7.681581
1.756717	0.2	7.608524
1.760050	0.2	7.537892
1.763383	0.2	7.469156
1.766717	0.2	7.401914
1.770050	0.2	7.336074
1.773383	0.2	7.272209
1.776717	0.2	7.211398
1.780050	0.2	7.154397
1.783383	0.2	7.101330
1.786717	0.2	7.051821
1.790050	0.2	7.005082
1.793383	0.2	6.960132
1.796717	0.2	6.916318
1.800050	0.2	6.873365
1.803383	0.2	6.830948
1.806717	0.2	6.788736
1.810050	0.2	6.746873
1.813383	0.2	6.706133
1.816717	0.2	6.667543
1.820050	0.2	6.631864
1.823383	0.2	6.599310
1.826717	0.2	6.569531
1.830050	0.2	6.541708
1.833383	0.2	6.514806
1.836717	0.2	6.487914
1.840050	0.2	6.460589
1.843383	0.2	6.432817
1.846717	0.2	6.404687
1.850050	0.2	6.376170
1.853383	0.2	6.346959
1.856717	0.2	6.316500
1.860050	0.2	6.284532
1.863383	0.2	6.251493
1.866717	0.2	6.218008
1.870050	0.2	6.184313
1.873383	0.2	6.150203
1.876717	0.2	6.115069
1.880050	0.2	6.078002
1.883383	0.2	6.038425
1.886717	0.2	5.996693
1.890050	0.2	5.953889
1.893383	0.2	5.911100
1.896717	0.2	5.868943
1.900050	0.2	5.827541
1.903383	0.2	5.786521
1.906717	0.2	5.745240
1.910050	0.2	5.703433
1.913383	0.2	5.661557
1.916717	0.2	5.620178
1.920050	0.2	5.579097
1.923383	0.2	5.537290
1.926717	0.2	5.493946
1.930050	0.2	5.449345
1.933383	0.2	5.404493
1.936717	0.2	5.360236
1.940050	0.2	5.317130
1.943383	0.2	5.275891
1.946717	0.2	5.237092
1.950050	0.2	5.200342
1.953383	0.2	5.164468
1.956717	0.2	5.128551
1.960050	0.2	5.092337
1.963383	0.2	5.056150
1.966717	0.2	5.020741
1.970050	0.2	4.986823
1.973383	0.2	4.954450
1.976717	0.2	4.923004
1.980050	0.2	4.891702
1.983383	0.2	4.860414
1.986717	0.2	4.829783
1.990050	0.2	4.800321
1.993383	0.2	4.772097
1.996717	0.2	4.745242
2.000050	0.2	4.719817
2.003383	0.2	4.695263
2.006717	0.2	4.671044
2.010050	0.2	4.647537
2.013383	0.2	4.625390
2.016717	0.2	4.604426
2.020050	0.2	4.583858
2.023383	0.2	4.563038
2.026717	0.2	4.541678
2.030050	0.2	4.519667
2.033383	0.2	4.496956
2.036717	0.2	4.473785
2.040050	0.2	4.451061
2.043383	0.2	4.429971
2.046717	0.2	4.410860
2.050050	0.2	4.393132
2.053383	0.2	4.376210
2.056717	0.2	4.359894
2.060050	0.2	4.343637
2.063383	0.2	4.326459
2.066717	0.2	4.307963
2.070050	0.2	4.288680
2.073383	0.2	4.269271
2.076717	0.2	4.250035
2.080050	0.2	4.231129
2.083383	0.2	4.212772
2.086717	0.2	4.195371
2.090050	0.2	4.179464
2.093383	0.2	4.165154
2.096717	0.2	4.151571
2.100050	0.2	4.137047
2.103383	0.2	4.120250
2.106717	0.2	4.101275
2.110050	0.2	4.081251
2.113383	0.2	4.061377
2.116717	0.2	4.042624
2.120050	0.2	4.025609
2.123383	0.2	4.010010
2.126717	0.2	3.994536
2.130050	0.2	3.977828
2.133383	0.2	3.959201
2.136717	0.2	3.938880
2.140050	0.2	3.918060
2.143383	0.2	3.898456
2.146717	0.2	3.881422
2.150050	0.2	3.867219
2.153383	0.2	3.854949
2.156717	0.2	3.843145
2.160050	0.2	3.830600
2.163383	0.2	3.816951
2.166717	0.2	3.802641
2.170050	0.2	3.788313
2.173383	0.2	3.774520
2.176717	0.2	3.761756
2.180050	0.2	3.750362
2.183383	0.2	3.740229
2.186717	0.2	3.730729
2.190050	0.2	3.721267
2.193383	0.2	3.711665
2.196717	0.2	3.702180
2.200050	0.2	3.693183
2.203383	0.2	3.684512
2.206717	0.2	3.675278
2.210050	0.2	3.664903
2.213383	0.2	3.653979
2.216717	0.2	3.643651
2.220050	0.2	3.634598
2.223383	0.2	3.626505
2.226717	0.2	3.618235
2.230050	0.2	3.609122
2.233383	0.2	3.600060
2.236717	0.2	3.592516
2.240050	0.2	3.586765
2.243383	0.2	3.581569
2.246717	0.2	3.575287
2.250050	0.2	3.567096
2.253383	0.2	3.557126
2.256717	0.2	3.546015
2.260050	0.2	3.534644
2.263383	0.2	3.523915
2.266717	0.2	3.514271
2.270050	0.2	3.505507
2.273383	0.2	3.497065
2.276717	0.2	3.488478
2.280050	0.2	3.479617
2.283383	0.2	3.470681
2.286717	0.2	3.461479
2.290050	0.2	3.451039
2.293383	0.2	3.438611
2.296717	0.2	3.424543
2.300050	0.2	3.409754
2.303383	0.2	3.394973
2.306717	0.2	3.380696
2.310050	0.2	3.367183
2.313383	0.2	3.354428
2.316717	0.2	3.342303
2.320050	0.2	3.330568
2.323383	0.2	3.318912
2.326717	0.2	3.307257
2.330050	0.2	3.295760
2.333383	0.2	3.284551
2.336717	0.2	3.273496
2.340050	0.2	3.262288
2.343383	0.2	3.250679
2.346717	0.2	3.238372
2.350050	0.2	3.224830
2.353383	0.2	3.209841
2.356717	0.2	3.193803
2.360050	0.2	3.177011
2.363383	0.2	3.159484
2.366717	0.2	3.141887
2.370050	0.2	3.125309
2.373383	0.2	3.110063
2.376717	0.2	3.095572
2.380050	0.2	3.081267
2.383383	0.2	3.067120
2.386717	0.2	3.053416
2.390050	0.2	3.040354
2.393383	0.2	3.027599
2.396717	0.2	3.014361
2.400050	0.2	3.000139
2.403383	0.2	2.985126
2.406717	0.2	2.969853
2.410050	0.2	2.954765
2.413383	0.2	2.940111
2.416717	0.2	2.925778
2.420050	0.2	2.911314
2.423383	0.2	2.896548
2.426717	0.2	2.881717
2.430050	0.2	2.866844
2.433383	0.2	2.851542
2.436717	0.2	2.835533
2.440050	0.2	2.819039
2.443383	0.2	2.802401
2.446717	0.2	2.785418
2.450050	0.2	2.767676
2.453383	0.2	2.749371
2.456717	0.2	2.731201
2.460050	0.2	2.713902
2.463383	0.2	2.698093
2.466717	0.2	2.684058
2.470050	0.2	2.671503
2.473383	0.2	2.660002
2.476717	0.2	2.649315
2.480050	0.2	2.639163
2.483383	0.2	2.629156
2.486717	0.2	2.618767
