URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/535.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	TAA fed 500 -3
Number	49
Position	B:E8
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 5:53:42 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.578035
Signal Max.	76.911426
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.496700	0.2	-0.041355
0.500033	0.2	-0.043330
0.503367	0.2	-0.043251
0.506700	0.2	-0.040857
0.510033	0.2	-0.036960
0.513367	0.2	-0.032992
0.516700	0.2	-0.030184
0.520033	0.2	-0.029122
0.523367	0.2	-0.029760
0.526700	0.2	-0.031623
0.530033	0.2	-0.033970
0.533367	0.2	-0.035977
0.536700	0.2	-0.037006
0.540033	0.2	-0.036955
0.543367	0.2	-0.036354
0.546700	0.2	-0.035912
0.550033	0.2	-0.035898
0.553367	0.2	-0.036014
0.556700	0.2	-0.035791
0.560033	0.2	-0.035344
0.563367	0.2	-0.035251
0.566700	0.2	-0.035856
0.570033	0.2	-0.037029
0.573367	0.2	-0.038501
0.576700	0.2	-0.039893
0.580033	0.2	-0.040731
0.583367	0.2	-0.040727
0.586700	0.2	-0.039898
0.590033	0.2	-0.038468
0.593367	0.2	-0.036722
0.596700	0.2	-0.034906
0.600033	0.2	-0.033271
0.603367	0.2	-0.032145
0.606700	0.2	-0.031684
0.610033	0.2	-0.031581
0.613367	0.2	-0.031530
0.616700	0.2	-0.031851
0.620033	0.2	-0.033169
0.623367	0.2	-0.035595
0.626700	0.2	-0.038627
0.630033	0.2	-0.041551
0.633367	0.2	-0.043642
0.636700	0.2	-0.044419
0.640033	0.2	-0.044079
0.643367	0.2	-0.043409
0.646700	0.2	-0.043111
0.650033	0.2	-0.043451
0.653367	0.2	-0.044219
0.656700	0.2	-0.044820
0.660033	0.2	-0.044703
0.663367	0.2	-0.043805
0.666700	0.2	-0.042594
0.670033	0.2	-0.041891
0.673367	0.2	-0.042496
0.676700	0.2	-0.044517
0.680033	0.2	-0.047088
0.683367	0.2	-0.049016
0.686700	0.2	-0.049779
0.690033	0.2	-0.049826
0.693367	0.2	-0.049886
