URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/650.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	WT fed 500 -3
Number	75
Position	Y:B5
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/11/2022 6:19:31 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	28.000017
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.545266
Signal Max.	70.751691
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.496683	0.2	-0.035954
0.500017	0.2	-0.035921
0.503350	0.2	-0.035707
0.506683	0.2	-0.035753
0.510017	0.2	-0.036671
0.513350	0.2	-0.038627
0.516683	0.2	-0.040918
0.520017	0.2	-0.042650
0.523350	0.2	-0.043572
0.526683	0.2	-0.043768
0.530017	0.2	-0.043237
0.533350	0.2	-0.042133
0.536683	0.2	-0.040913
0.540017	0.2	-0.040038
0.543350	0.2	-0.039749
0.546683	0.2	-0.039972
0.550017	0.2	-0.040364
0.553350	0.2	-0.040596
0.556683	0.2	-0.040885
0.560017	0.2	-0.041914
0.563350	0.2	-0.043958
0.566683	0.2	-0.046212
0.570017	0.2	-0.047372
0.573350	0.2	-0.046976
0.576683	0.2	-0.045747
0.580017	0.2	-0.044839
0.583350	0.2	-0.044941
0.586683	0.2	-0.045844
0.590017	0.2	-0.046734
0.593350	0.2	-0.046976
0.596683	0.2	-0.046599
0.600017	0.2	-0.045975
0.603350	0.2	-0.045411
0.606683	0.2	-0.045174
0.610017	0.2	-0.045463
0.613350	0.2	-0.046026
0.616683	0.2	-0.046245
0.620017	0.2	-0.045779
0.623350	0.2	-0.045085
0.626683	0.2	-0.044946
0.630017	0.2	-0.045607
0.633350	0.2	-0.046790
0.636683	0.2	-0.048131
0.640017	0.2	-0.049095
0.643350	0.2	-0.048992
0.646683	0.2	-0.047777
0.650017	0.2	-0.046492
0.653350	0.2	-0.046403
0.656683	0.2	-0.047651
0.660017	0.2	-0.049300
0.663350	0.2	-0.050562
0.666683	0.2	-0.051288
0.670017	0.2	-0.051451
0.673350	0.2	-0.051102
0.676683	0.2	-0.050571
0.680017	0.2	-0.050138
0.683350	0.2	-0.049700
0.686683	0.2	-0.049151
0.690017	0.2	-0.048606
0.693350	0.2	-0.048145
0.696683	0.2	-0.047800
0.700017	0.2	-0.047809
0.703350	0.2	-0.048480
0.706683	0.2	-0.049947
0.710017	0.2	-0.052140
0.713350	0.2	-0.054813
0.716683	0.2	-0.057677
0.720017	0.2	-0.060373
0.723350	0.2	-0.062273
0.726683	0.2	-0.062562
0.730017	0.2	-0.060815
0.733350	0.2	-0.057518
0.736683	0.2	-0.054063
0.740017	0.2	-0.052052
0.743350	0.2	-0.052387
0.746683	0.2	-0.054962
0.750017	0.2	-0.058585
0.753350	0.2	-0.061523
0.756683	0.2	-0.062780
0.760017	0.2	-0.062431
0.763350	0.2	-0.061160
0.766683	0.2	-0.060084
0.770017	0.2	-0.060238
0.773350	0.2	-0.061644
0.776683	0.2	-0.063251
0.780017	0.2	-0.064149
0.783350	0.2	-0.064289
0.786683	0.2	-0.063842
0.790017	0.2	-0.062711
0.793350	0.2	-0.061044
0.796683	0.2	-0.059488
0.800017	0.2	-0.058557
0.803350	0.2	-0.058035
0.806683	0.2	-0.057318
0.810017	0.2	-0.056289
0.813350	0.2	-0.055479
0.816683	0.2	-0.055344
0.820017	0.2	-0.055875
0.823350	0.2	-0.056806
0.826683	0.2	-0.057798
0.830017	0.2	-0.058534
0.833350	0.2	-0.058869
0.836683	0.2	-0.058832
0.840017	0.2	-0.058650
0.843350	0.2	-0.058683
0.846683	0.2	-0.059158
0.850017	0.2	-0.060000
0.853350	0.2	-0.060936
0.856683	0.2	-0.061616
0.860017	0.2	-0.061803
0.863350	0.2	-0.061551
0.866683	0.2	-0.061309
0.870017	0.2	-0.061770
0.873350	0.2	-0.063200
0.876683	0.2	-0.065081
0.880017	0.2	-0.066613
0.883350	0.2	-0.067400
0.886683	0.2	-0.067670
0.890017	0.2	-0.067879
0.893350	0.2	-0.067991
0.896683	0.2	-0.067456
0.900017	0.2	-0.065914
0.903350	0.2	-0.063675
0.906683	0.2	-0.061858
0.910017	0.2	-0.061770
0.913350	0.2	-0.063521
0.916683	0.2	-0.065695
0.920017	0.2	-0.066799
0.923350	0.2	-0.066641
0.926683	0.2	-0.065924
0.930017	0.2	-0.065397
0.933350	0.2	-0.065495
0.936683	0.2	-0.066208
0.940017	0.2	-0.067209
0.943350	0.2	-0.068042
0.946683	0.2	-0.068359
0.950017	0.2	-0.068271
0.953350	0.2	-0.068052
0.956683	0.2	-0.067675
0.960017	0.2	-0.067092
0.963350	0.2	-0.066692
0.966683	0.2	-0.066836
0.970017	0.2	-0.067186
0.973350	0.2	-0.067055
0.976683	0.2	-0.066403
0.980017	0.2	-0.065896
0.983350	0.2	-0.066110
0.986683	0.2	-0.066925
0.990017	0.2	-0.067786
0.993350	0.2	-0.068285
0.996683	0.2	-0.068294
1.000017	0.2	-0.067865
1.003350	0.2	-0.066962
1.006683	0.2	-0.065560
1.010017	0.2	-0.064215
1.013350	0.2	-0.063819
1.016683	0.2	-0.064676
1.020017	0.2	-0.066333
1.023350	0.2	-0.068177
1.026683	0.2	-0.069831
1.030017	0.2	-0.071172
1.033350	0.2	-0.072238
1.036683	0.2	-0.073225
1.040017	0.2	-0.074175
1.043350	0.2	-0.074557
1.046683	0.2	-0.073751
1.050017	0.2	-0.071866
1.053350	0.2	-0.069477
1.056683	0.2	-0.066892
1.060017	0.2	-0.063698
1.063350	0.2	-0.058841
1.066683	0.2	-0.051046
1.070017	0.2	-0.039283
1.073350	0.2	-0.022692
1.076683	0.2	0.000242
1.080017	0.2	0.032750
1.083350	0.2	0.080699
1.086683	0.2	0.154995
1.090017	0.2	0.281148
1.093350	0.2	0.519543
1.096683	0.2	0.980832
1.100017	0.2	1.802393
1.103350	0.2	3.078287
1.106683	0.2	4.792227
1.110017	0.2	6.813165
1.113350	0.2	8.958159
1.116683	0.2	11.070371
1.120017	0.2	13.057059
1.123350	0.2	14.878861
1.126683	0.2	16.523819
1.130017	0.2	17.995546
1.133350	0.2	19.314024
1.136683	0.2	20.514778
1.140017	0.2	21.641422
1.143350	0.2	22.735237
1.146683	0.2	23.826668
1.150017	0.2	24.932227
1.153350	0.2	26.057158
1.156683	0.2	27.201483
1.160017	0.2	28.365939
1.163350	0.2	29.555536
1.166683	0.2	30.780071
1.170017	0.2	32.052058
1.173350	0.2	33.383267
1.176683	0.2	34.780656
1.180017	0.2	36.242339
1.183350	0.2	37.755887
1.186683	0.2	39.300444
1.190017	0.2	40.851482
1.193350	0.2	42.386730
1.196683	0.2	43.892055
1.200017	0.2	45.365132
1.203350	0.2	46.815090
1.206683	0.2	48.258593
1.210017	0.2	49.714549
1.213350	0.2	51.199254
1.216683	0.2	52.722925
1.220017	0.2	54.288241
1.223350	0.2	55.891099
1.226683	0.2	57.522650
1.230017	0.2	59.170560
1.233350	0.2	60.818833
1.236683	0.2	62.446278
1.240017	0.2	64.024418
1.243350	0.2	65.516881
1.246683	0.2	66.881883
1.250017	0.2	68.077836
1.253350	0.2	69.069909
1.256683	0.2	69.835065
1.260017	0.2	70.364983
1.263350	0.2	70.665511
1.266683	0.2	70.751691
1.270017	0.2	70.641819
1.273350	0.2	70.353928
1.276683	0.2	69.903801
1.280017	0.2	69.303727
1.283350	0.2	68.562976
1.286683	0.2	67.689563
1.290017	0.2	66.692783
1.293350	0.2	65.585347
1.296683	0.2	64.383973
1.300017	0.2	63.108606
1.303350	0.2	61.781285
1.306683	0.2	60.424795
1.310017	0.2	59.061023
1.313350	0.2	57.709427
1.316683	0.2	56.386124
1.320017	0.2	55.102855
1.323350	0.2	53.866622
1.326683	0.2	52.681104
1.330017	0.2	51.548462
1.333350	0.2	50.470242
1.336683	0.2	49.447818
1.340017	0.2	48.482278
1.343350	0.2	47.573978
1.346683	0.2	46.722880
1.350017	0.2	45.929304
1.353350	0.2	45.194132
1.356683	0.2	44.518402
1.360017	0.2	43.902723
1.363350	0.2	43.347101
1.366683	0.2	42.850915
1.370017	0.2	42.412742
1.373350	0.2	42.030797
1.376683	0.2	41.703885
1.380017	0.2	41.431519
1.383350	0.2	41.212859
1.386683	0.2	41.045630
1.390017	0.2	40.926277
1.393350	0.2	40.850784
1.396683	0.2	40.815352
1.400017	0.2	40.816721
1.403350	0.2	40.851841
1.406683	0.2	40.917299
1.410017	0.2	41.009309
1.413350	0.2	41.124099
1.416683	0.2	41.257958
1.420017	0.2	41.406853
