THP4-A4,NOR-1,NOR-2,NOR-3,NRT-1,NRT-2,NRT-3,THP-1,THP-2,THP3,DH10B
0,477.8012585,489.6688295,494.9396882,477.8012585,489.6688295,494.9396882,477.8012585,489.6688295,494.9396882,230.4915294
0.25,654.4581382,644.3414436,642.3357642,619.8644808,590.0933209,602.7042352,10482.0145,9146.254501,9276.069919,235.6810131
0.5,657.7002861,630.9284219,619.2236387,751.6570215,709.0291433,720.9106182,21744.13617,20547.51822,20370.10924,232.2670434
1,651.9138791,649.5423746,638.7570047,1154.334014,1098.078014,1028.194722,33439.02761,33814.37541,33474.30317,228.2157708
2.5,640.4445107,643.8396487,646.6945163,3536.686941,2978.069547,3099.358076,47283.69454,47866.18122,47546.08297,230.4915294
5,642.3663205,642.5233375,649.4443624,10210.66015,9469.014371,9856.115458,53883.25187,54701.1971,54812.17879,235.6810131
10,641.1716987,630.5882471,623.8185495,24411.6783,23957.19576,26195.54446,58474.88132,58685.25246,58460.35283,232.2670434
25,603.4482564,622.4549006,586.3598375,40080.14443,41672.11372,40719.15923,60470.87016,60919.28423,60655.71588,228.2157708
50,624.7263,617.1046718,653.1114995,46535.48601,48557.79712,49715.83761,60347.40265,61050.70973,61042.74506,228.2157708
